month,starting_balance,interest_paid,principal_paid,new_balance,interest_rate,car_type
1,34689.96,202.93,484.3,34205.66,0.0702,Toyota Sienna
2,34205.66,200.1,487.13,33718.53,0.0702,Toyota Sienna
3,33718.53,197.25,489.98,33228.55,0.0702,Toyota Sienna
4,33228.55,194.38,492.85,32735.7,0.0702,Toyota Sienna
5,32735.7,191.5,495.73,32239.97,0.0702,Toyota Sienna
6,32239.97,188.6,498.63,31741.34,0.0702,Toyota Sienna
7,31741.34,185.68,501.55,31239.79,0.0702,Toyota Sienna
8,31239.79,182.75,504.48,30735.31,0.0702,Toyota Sienna
9,30735.31,179.8,507.43,30227.88,0.0702,Toyota Sienna
10,30227.88,176.83,510.4,29717.48,0.0702,Toyota Sienna
11,29717.48,173.84,513.39,29204.09,0.0702,Toyota Sienna
12,29204.09,170.84,516.39,28687.7,0.0702,Toyota Sienna
13,28687.7,167.82,519.41,28168.29,0.0702,Toyota Sienna
14,28168.29,164.78,522.45,27645.84,0.0702,Toyota Sienna
15,27645.84,161.72,525.51,27120.33,0.0702,Toyota Sienna
16,27120.33,158.65,528.58,26591.75,0.0702,Toyota Sienna
17,26591.75,155.56,531.67,26060.08,0.0702,Toyota Sienna
18,26060.08,152.45,534.78,25525.3,0.0702,Toyota Sienna
19,25525.3,149.32,537.91,24987.39,0.0702,Toyota Sienna
20,24987.39,146.17,541.06,24446.33,0.0702,Toyota Sienna
21,24446.33,143.01,544.22,23902.11,0.0702,Toyota Sienna
22,23902.11,139.82,547.41,23354.7,0.0702,Toyota Sienna
23,23354.7,136.62,550.61,22804.09,0.0702,Toyota Sienna
24,22804.09,133.4,553.83,22250.26,0.0702,Toyota Sienna
25,22250.26,130.16,557.07,21693.19,0.0702,Toyota Sienna
26,21693.19,126.9,560.33,21132.86,0.0702,Toyota Sienna
27,21132.86,123.62,563.61,20569.25,0.0702,Toyota Sienna
28,20569.25,120.33,566.9,20002.35,0.0702,Toyota Sienna
29,20002.35,117.01,570.22,19432.13,0.0702,Toyota Sienna
30,19432.13,113.67,573.56,18858.57,0.0702,Toyota Sienna
31,18858.57,110.32,576.91,18281.66,0.0702,Toyota Sienna
32,18281.66,106.94,580.29,17701.37,0.0702,Toyota Sienna
33,17701.37,103.55,583.68,17117.69,0.0702,Toyota Sienna
34,17117.69,100.13,587.1,16530.59,0.0702,Toyota Sienna
35,16530.59,96.7,590.53,15940.06,0.0702,Toyota Sienna
36,15940.06,93.24,593.99,15346.07,0.0702,Toyota Sienna
37,15346.07,89.77,597.46,14748.61,0.0702,Toyota Sienna
38,14748.61,86.27,600.96,14147.65,0.0702,Toyota Sienna
39,14147.65,82.76,604.47,13543.18,0.0702,Toyota Sienna
40,13543.18,79.22,608.01,12935.17,0.0702,Toyota Sienna
41,12935.17,75.67,611.56,12323.61,0.0702,Toyota Sienna
42,12323.61,72.09,615.14,11708.47,0.0702,Toyota Sienna
43,11708.47,68.49,618.74,11089.73,0.0702,Toyota Sienna
44,11089.73,64.87,622.36,10467.37,0.0702,Toyota Sienna
45,10467.37,61.23,626.0,9841.37,0.0702,Toyota Sienna
46,9841.37,57.57,629.66,9211.71,0.0702,Toyota Sienna
47,9211.71,53.88,633.35,8578.36,0.0702,Toyota Sienna
48,8578.36,50.18,637.05,7941.31,0.0702,Toyota Sienna
49,7941.31,46.45,640.78,7300.53,0.0702,Toyota Sienna
50,7300.53,42.7,644.53,6656.0,0.0702,Toyota Sienna
51,6656.0,38.93,648.3,6007.7,0.0702,Toyota Sienna
52,6007.7,35.14,652.09,5355.61,0.0702,Toyota Sienna
53,5355.61,31.33,655.9,4699.71,0.0702,Toyota Sienna
54,4699.71,27.49,659.74,4039.97,0.0702,Toyota Sienna
55,4039.97,23.63,663.6,3376.37,0.0702,Toyota Sienna
56,3376.37,19.75,667.48,2708.89,0.0702,Toyota Sienna
57,2708.89,15.84,671.39,2037.5,0.0702,Toyota Sienna
58,2037.5,11.91,675.32,1362.18,0.0702,Toyota Sienna
59,1362.18,7.96,679.27,682.91,0.0702,Toyota Sienna
60,682.91,3.99,683.24,-0.33,0.0702,Toyota Sienna
